replication,monitoring_dates,ncv_epoch,trajectory_id,training_data_generation_runtime_s,optimizer_cumulative_training_runtime_s,ncv_setup_cost_s,gcv_setup_cost_s,gcv_marginal_pricing_runtime_s,ncv_marginal_pricing_runtime_50000_s,ncv_marginal_pricing_runtime_matched_measured_s,ncv_marginal_pricing_runtime_matched_projected_s,break_even_q,break_even_failure_reason
23,12,25,rep23_m12,8.409999736613827e-07,0.2738949429999593,0.273895783999933,0.00013452300004246354,0.026603866999948877,0.04128565499991055,0.05607557899998028,0.09292079799519867,NA,proposed_marginal_not_below_baseline_no_finite_break_even
23,12,1000,rep23_m12,8.409999736613827e-07,10.865761543999952,10.865762384999925,0.00013452300004246354,0.026932243999908678,0.027598756999850593,0.003878169000017806,0.0015825127263714332,472,
23,252,25,rep23_m252,9.119999049289618e-07,0.3986433610000404,0.3986442729999453,0.00013485299996318645,0.40724148599997534,0.34028241000009984,NA,1.8253565150189355,NA,proposed_marginal_not_below_baseline_no_finite_break_even
23,252,1000,rep23_m252,9.119999049289618e-07,15.144883649999883,15.144884561999788,0.00013485299996318645,0.39625135600022077,0.34167400800015457,NA,1.6388257124124213,NA,proposed_marginal_not_below_baseline_no_finite_break_even
24,12,25,rep24_m12,8.310000794153893e-07,0.2716184359999261,0.2716192670000055,0.00015354800007116864,0.026766913000074055,0.02639814999997725,0.04966495400003623,0.05766042311895031,NA,proposed_marginal_not_below_baseline_no_finite_break_even
24,12,1000,rep24_m12,8.310000794153893e-07,10.774705983999866,10.774706814999945,0.00015354800007116864,0.026776621999943018,0.024337005000006684,0.0015624669999851903,0.001376014262700378,428,
24,252,25,rep24_m252,9.020000106829684e-07,0.39499575400009235,0.39499665600010303,0.00014053299992156099,0.39703963000010845,0.3397274680000919,NA,1.7971175384243263,NA,proposed_marginal_not_below_baseline_no_finite_break_even
24,252,1000,rep24_m252,9.020000106829684e-07,15.577115520000007,15.577116422000017,0.00014053299992156099,0.3994456230000196,0.3404195119999258,NA,1.7348595338345019,NA,proposed_marginal_not_below_baseline_no_finite_break_even
25,12,25,rep25_m12,8.720001005713129e-07,0.2761930469998788,0.27619391899997936,0.00013212799990469648,0.02665706799984946,0.023677256000155467,0.049569335000114734,0.05049127487521153,NA,proposed_marginal_not_below_baseline_no_finite_break_even
25,12,1000,rep25_m12,8.720001005713129e-07,11.04831524999986,11.04831612199996,0.00013212799990469648,0.026693485999885525,0.025665213000138465,0.0039697419999811245,0.001050220515965666,487,
25,252,25,rep25_m252,1.0930000371445203e-06,0.40096673900006863,0.4009678320001058,0.00017179400015265855,0.3960292600002049,0.34119456899998113,NA,1.956327771949332,NA,proposed_marginal_not_below_baseline_no_finite_break_even
25,252,1000,rep25_m252,1.0930000371445203e-06,15.487790282000105,15.487791375000143,0.00017179400015265855,0.3974685660000432,0.33933919099990817,NA,1.7371723337020097,NA,proposed_marginal_not_below_baseline_no_finite_break_even
26,12,25,rep26_m12,8.109998361760518e-07,0.27740381200010233,0.2774046229999385,0.00016549099996154837,0.026779988000043886,0.025498058000039237,0.05087634100004834,0.05759705325512863,NA,proposed_marginal_not_below_baseline_no_finite_break_even
26,12,1000,rep26_m12,8.109998361760518e-07,11.045620981999946,11.045621792999782,0.00016549099996154837,0.026689337000107116,0.024387509999996837,0.0018066360000830173,0.0016227449153997896,444,
26,252,25,rep26_m252,1.2030000107188243e-06,0.40678547000015897,0.4067866730001697,0.00013290900005813455,0.3955134770001223,0.34189028100013275,NA,2.0891615888850312,NA,proposed_marginal_not_below_baseline_no_finite_break_even
26,252,1000,rep26_m252,1.2030000107188243e-06,15.600143514000138,15.600144717000148,0.00013290900005813455,0.3947710710001502,0.3443194980000044,NA,2.754686825409275,NA,proposed_marginal_not_below_baseline_no_finite_break_even
27,12,25,rep27_m12,7.91999809734989e-07,0.2745088339997892,0.27450962599959894,0.0001544099998227466,0.026740413999959856,0.02545076000001245,0.04651533400010521,0.05052535776722472,NA,proposed_marginal_not_below_baseline_no_finite_break_even
27,12,1000,rep27_m12,7.91999809734989e-07,10.893033702999901,10.89303449499971,0.0001544099998227466,0.02674083499982771,0.02566503200000625,0.003996210999957839,0.0014777925425603598,479,
27,252,25,rep27_m252,7.419998837576713e-07,0.40158387100018444,0.4015846130000682,0.00013833000002705376,0.394101524000007,0.33993351499998425,NA,1.6738938158926224,NA,proposed_marginal_not_below_baseline_no_finite_break_even
27,252,1000,rep27_m252,7.419998837576713e-07,15.315382169000031,15.315382910999915,0.00013833000002705376,0.394908149999992,0.3397763650000343,1.3109022150001692,1.3218251972323334,NA,proposed_marginal_not_below_baseline_no_finite_break_even
28,12,25,rep28_m12,8.819999948173063e-07,0.2751050289998602,0.27510591099985504,0.0001328289999946719,0.026636498000016218,0.02441831800001637,0.04152081500001259,0.04365262708862927,NA,proposed_marginal_not_below_baseline_no_finite_break_even
28,12,1000,rep28_m12,8.819999948173063e-07,10.870148641000014,10.87014952300001,0.0001328289999946719,0.026699164999854474,0.02353805400002784,0.0017695550000098592,0.0015459793867218287,437,
28,252,25,rep28_m252,9.919999683916103e-07,0.40193651599997793,0.4019375079999463,0.00013660600006915047,0.40174604399999225,0.34144522299993696,NA,2.1369759015718652,NA,proposed_marginal_not_below_baseline_no_finite_break_even
28,252,1000,rep28_m252,9.919999683916103e-07,15.64420788099983,15.644208872999798,0.00013660600006915047,0.397084391999897,0.33965060900004573,NA,2.4211789872202862,NA,proposed_marginal_not_below_baseline_no_finite_break_even
29,12,25,rep29_m12,9.82000074145617e-07,0.27352067099991473,0.2735216529999889,0.00013646699994751543,0.02673668599982193,0.023491836999937732,0.048360281999975996,0.04862105503877113,NA,proposed_marginal_not_below_baseline_no_finite_break_even
29,12,1000,rep29_m12,9.82000074145617e-07,10.894687301999966,10.89468828400004,0.00013646699994751543,0.02679112900000291,0.025514268000051743,0.004184606000080748,0.0017262953728835009,482,
29,252,25,rep29_m252,7.920002644823398e-07,0.40576374200009013,0.4057645340003546,0.00013430199987851665,0.3969095920001564,0.34083832600026653,NA,2.04620925660956,NA,proposed_marginal_not_below_baseline_no_finite_break_even
29,252,1000,rep29_m252,7.920002644823398e-07,15.513446487000238,15.513447279000502,0.00013430199987851665,0.3950899220003521,0.33963441400010197,NA,2.161474166826329,NA,proposed_marginal_not_below_baseline_no_finite_break_even
